Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$15.8M,"China, Israel",Uk,288,Low,1905,Qtr 2,June,24,6,South Jamesside,1905,Adaptive Directional Adapter,Unmanned,2,Navigation,71,Solar Propulsion
$28.7M,"China, Israel, India",Israel,125,Medium,1905,Qtr 2,June,23,6,Alexandriahaven,1905,Persistent 4Thgeneration Attitude,Unmanned,2,Communication,85,Traditional Rocket
$10.5M,"China, Israel, Japan",China,133,Low,1905,Qtr 3,July,8,7,Annafort,1905,Synchronized Multi-Tasking Pricing Structure,Unmanned,3,Communication,72,Solar Propulsion
$42.4M,"China, Israel, Japan",Uk,306,Medium,1905,Qtr 3,July,11,7,Lake Sandra,1905,Synergistic Holistic Parallelism,Manned,3,Weather,78,Traditional Rocket
$25.4M,"China, Israel, Russia",Germany,356,Medium,1905,Qtr 2,June,27,6,New Gregory,1905,Reverse-Engineered Bandwidth-Monitored Info-Mediaries,Unmanned,2,Weather,87,Solar Propulsion
$37.2M,"China, Israel, Russia",Uae,310,Low,1905,Qtr 3,July,8,7,West Ericatown,1905,Cloned Object-Oriented Pricing Structure,Manned,3,Weather,100,Reusable Rocket
$12.5M,"China, Israel, Uae",Uae,352,High,1905,Qtr 3,July,10,7,Port Phillip,1905,Assimilated Multimedia Toolset,Unmanned,3,Weather,100,Ai Navigation
$28.7M,"China, Israel, Usa",Israel,238,Medium,1905,Qtr 3,July,5,7,Port Kaitlynstad,1905,Reactive Disintermediate Projection,Manned,3,Communication,54,Ai Navigation
$48.0M,"China, Japan",Germany,19,Low,1905,Qtr 3,July,2,7,Katherinemouth,1905,Automated Multimedia Secured Line,Unmanned,3,Weather,66,Traditional Rocket
$19.5M,"China, Japan",India,125,Low,1905,Qtr 3,July,11,7,Mariahshire,1905,Synergistic Impactful Synergy,Manned,3,Spy,100,Reusable Rocket
$25.5M,"China, Japan",India,234,Low,1905,Qtr 3,July,13,7,West Tammy,1905,Optional Local Capacity,Manned,3,Research,89,Reusable Rocket
$6.1M,"China, Japan",Israel,220,Low,1905,Qtr 2,June,27,6,Whiteheadport,1905,Stand-Alone Bi-Directional Graphical User Interface,Unmanned,2,Spy,71,Solar Propulsion
$42.0M,"China, Japan",Israel,252,Low,1905,Qtr 3,July,6,7,Simmonsborough,1905,Streamlined Human-Resource Infrastructure,Manned,3,Navigation,76,Ai Navigation
$21.2M,"China, Japan",Japan,68,Low,1905,Qtr 3,July,14,7,South Ashleyville,1905,Fully-Configurable Bi-Directional Hardware,Unmanned,3,Research,68,Nuclear Propulsion
$7.2M,"China, Japan",Russia,68,Low,1905,Qtr 2,June,27,6,South Leah,1905,Up-Sized 4Thgeneration Extranet,Manned,2,Navigation,84,Nuclear Propulsion
$1.6M,"China, Japan",Russia,234,Medium,1905,Qtr 2,June,29,6,Sotoland,1905,Open-Source Contextually-Based Core,Manned,2,Navigation,65,Solar Propulsion
$12.9M,"China, Japan",Uk,5,Low,1905,Qtr 2,June,23,6,West Cynthia,1905,Persistent Bi-Directional Archive,Unmanned,2,Weather,54,Traditional Rocket
$1.9M,"China, Japan",Uk,205,Low,1905,Qtr 3,July,5,7,Connieberg,1905,Persistent Impactful Software,Manned,3,Weather,67,Traditional Rocket
$42.6M,"China, Japan",Usa,198,High,1905,Qtr 3,July,1,7,Stuartfurt,1905,Polarized Static Customer Loyalty,Unmanned,3,Weather,63,Ai Navigation
$49.2M,"China, Japan",Usa,106,Medium,1905,Qtr 3,July,14,7,Lawrencechester,1905,Object-Based Incremental Database,Unmanned,3,Research,71,Nuclear Propulsion
$19.3M,"China, Japan, France",China,90,Medium,1905,Qtr 3,July,10,7,Thomasshire,1905,Synchronized Leadingedge Instruction Set,Unmanned,3,Spy,88,Solar Propulsion
$40.7M,"China, Japan, France",India,51,Medium,1905,Qtr 3,July,14,7,Porterfurt,1905,Phased Transitional Framework,Unmanned,3,Research,68,Reusable Rocket
$32.7M,"China, Japan, Germany",India,90,Medium,1905,Qtr 2,June,25,6,Kiaraton,1905,Versatile Regional Application,Manned,2,Spy,78,Solar Propulsion
$15.2M,"China, Japan, India",France,136,Low,1905,Qtr 3,July,2,7,Carlosview,1905,Networked Hybrid Neural-Net,Manned,3,Navigation,69,Traditional Rocket
$11.5M,"China, Japan, Uae",China,26,Low,1905,Qtr 3,July,5,7,Scottberg,1905,Persistent Bottom-Line Capability,Manned,3,Navigation,89,Reusable Rocket
$12.5M,"China, Japan, Uae",India,355,High,1905,Qtr 2,June,26,6,Millerview,1905,Team-Oriented Radical Projection,Manned,2,Communication,99,Reusable Rocket
$27.8M,"China, Japan, Uae",Israel,134,High,1905,Qtr 3,July,1,7,Port Krystal,1905,Profound Modular Local Area Network,Manned,3,Communication,58,Ai Navigation
$4.1M,"China, Japan, Uae",Uk,31,Medium,1905,Qtr 3,July,17,7,New Shawnchester,1905,Function-Based Asynchronous Project,Manned,3,Spy,71,Solar Propulsion
$10.0M,"China, Japan, Uae",Usa,141,High,1905,Qtr 2,June,27,6,Debbiefort,1905,User-Friendly Foreground Conglomeration,Manned,2,Weather,81,Ai Navigation
$46.6M,"China, Japan, Uk",Japan,144,Medium,1905,Qtr 3,July,7,7,Watkinsside,1905,Pre-Emptive National Definition,Manned,3,Communication,98,Traditional Rocket
$23.2M,"China, Japan, Uk",Usa,356,Low,1905,Qtr 3,July,6,7,New Kyle,1905,Focused Stable Flexibility,Manned,3,Communication,52,Reusable Rocket
$30.1M,"China, Japan, Usa",Israel,112,Low,1905,Qtr 3,July,15,7,Dustinborough,1905,Diverse 5Thgeneration Adapter,Unmanned,3,Navigation,59,Nuclear Propulsion
$24.1M,"China, Japan, Usa",Uae,50,Low,1905,Qtr 2,June,28,6,Knightshire,1905,Multi-Channeled Bandwidth-Monitored Workforce,Manned,2,Communication,83,Traditional Rocket
$22.2M,"China, Russia",China,259,High,1905,Qtr 2,June,24,6,Clarkport,1905,Multi-Lateral Grid-Enabled Standardization,Manned,2,Spy,53,Ai Navigation
$25.3M,"China, Russia",China,125,High,1905,Qtr 3,July,12,7,Smithville,1905,Compatible Object-Oriented Internet Solution,Unmanned,3,Weather,67,Ai Navigation
$12.4M,"China, Russia",Germany,164,Low,1905,Qtr 3,July,16,7,Racheltown,1905,Visionary Modular Attitude,Unmanned,3,Weather,73,Nuclear Propulsion
$5.7M,"China, Russia",Germany,121,Medium,1905,Qtr 2,June,30,6,Lake Destiny,1905,Upgradable Zero Tolerance Matrix,Manned,2,Spy,75,Nuclear Propulsion
$36.3M,"China, Russia",Israel,208,Low,1905,Qtr 3,July,6,7,Knoxland,1905,Compatible Local Matrices,Manned,3,Communication,64,Nuclear Propulsion
$9.1M,"China, Russia",Japan,365,High,1905,Qtr 2,June,22,6,Randallstad,1905,Vision-Oriented Mobile Projection,Manned,2,Communication,72,Reusable Rocket
$48.1M,"China, Russia",Russia,78,High,1905,Qtr 2,June,22,6,Parksport,1905,Face-To-Face Clear-Thinking Functionalities,Manned,2,Research,93,Reusable Rocket
$32.3M,"China, Russia",Uae,32,High,1905,Qtr 3,July,10,7,Aliciaside,1905,Extended User-Facing Standardization,Unmanned,3,Spy,86,Reusable Rocket
$10.4M,"China, Russia",Uae,68,Low,1905,Qtr 3,July,14,7,Salazarstad,1905,Digitized Explicit Functionalities,Manned,3,Research,92,Ai Navigation
$32.3M,"China, Russia",Uae,305,Medium,1905,Qtr 3,July,5,7,West Scott,1905,Up-Sized Methodical Intranet,Manned,3,Navigation,78,Traditional Rocket
$34.4M,"China, Russia",Uk,83,Low,1905,Qtr 2,June,23,6,Combsside,1905,Team-Oriented 6Thgeneration Software,Unmanned,2,Spy,72,Nuclear Propulsion
$31.8M,"China, Russia",Usa,78,Medium,1905,Qtr 2,June,26,6,West Jaclynfort,1905,Triple-Buffered Explicit Collaboration,Unmanned,2,Communication,83,Reusable Rocket
$33.9M,"China, Russia, France",France,242,Medium,1905,Qtr 3,July,6,7,Castrohaven,1905,Synergistic Multi-State Forecast,Unmanned,3,Spy,72,Solar Propulsion
$42.1M,"China, Russia, France",Usa,154,Medium,1905,Qtr 3,July,4,7,Lamport,1905,Multi-Layered Methodical Matrix,Manned,3,Spy,87,Ai Navigation
$46.1M,"China, Russia, Germany",Japan,320,Medium,1905,Qtr 3,July,15,7,Michaelton,1905,Re-Contextualized Next Generation Access,Manned,3,Communication,60,Traditional Rocket
$6.7M,"China, Russia, Germany",Russia,234,Low,1905,Qtr 3,July,5,7,New Joseland,1905,Open-Architected Discrete Structure,Manned,3,Weather,89,Solar Propulsion
$5.6M,"China, Russia, India",Germany,203,High,1905,Qtr 3,July,6,7,Carmenberg,1905,Streamlined Logistical Portal,Manned,3,Weather,82,Reusable Rocket
$37.0M,"China, Russia, Japan",Japan,88,High,1905,Qtr 3,July,1,7,East Maryberg,1905,Virtual Uniform Moratorium,Manned,3,Spy,61,Ai Navigation
$34.0M,"China, Russia, Japan",Uk,42,Low,1905,Qtr 2,June,29,6,Gonzalesfort,1905,Right-Sized Actuating Task-Force,Unmanned,2,Communication,76,Traditional Rocket
$18.9M,"China, Russia, Uae",France,291,Medium,1905,Qtr 2,June,23,6,South Sierraport,1905,Up-Sized System-Worthy Encryption,Unmanned,2,Weather,52,Solar Propulsion
$35.4M,"China, Russia, Uae",Israel,174,Low,1905,Qtr 3,July,3,7,West Brookefurt,1905,Business-Focused Needs-Based Throughput,Unmanned,3,Research,63,Nuclear Propulsion
$37.7M,"China, Russia, Uk",France,152,Medium,1905,Qtr 3,July,8,7,New Gregory,1905,Enterprise-Wide Local Open System,Manned,3,Navigation,69,Traditional Rocket
$1.0M,"China, Russia, Uk",Israel,225,High,1905,Qtr 3,July,12,7,Port Stephen,1905,Universal Next Generation Analyzer,Manned,3,Weather,90,Ai Navigation
$32.4M,"China, Uae",France,39,Medium,1905,Qtr 3,July,7,7,Mackland,1905,Configurable Logistical Orchestration,Manned,3,Research,70,Traditional Rocket
$39.0M,"China, Uae",India,230,High,1905,Qtr 2,June,25,6,West Elizabeth,1905,Profit-Focused Non-Volatile Analyzer,Unmanned,2,Weather,82,Nuclear Propulsion
$32.2M,"China, Uae",India,1,Medium,1905,Qtr 3,July,11,7,Michaeltown,1905,Assimilated Interactive Synergy,Unmanned,3,Spy,54,Reusable Rocket
$46.4M,"China, Uae",Japan,156,Medium,1905,Qtr 3,July,12,7,Lewistown,1905,Future-Proofed Even-Keeled Analyzer,Unmanned,3,Navigation,91,Reusable Rocket
$48.7M,"China, Uae",Uk,178,High,1905,Qtr 2,June,26,6,Smithfort,1905,Profound Asymmetric Encryption,Manned,2,Communication,94,Ai Navigation
$25.4M,"China, Uae",Uk,129,Low,1905,Qtr 3,July,11,7,Oliviaview,1905,Switchable Mobile Knowledge User,Manned,3,Research,87,Solar Propulsion
$39.8M,"China, Uae, France",Germany,206,Low,1905,Qtr 2,June,25,6,Fuentesberg,1905,Business-Focused 4Thgeneration Definition,Unmanned,2,Navigation,92,Solar Propulsion
$43.8M,"China, Uae, Germany",China,155,High,1905,Qtr 3,July,3,7,North Charles,1905,Ameliorated Dedicated Collaboration,Manned,3,Research,64,Reusable Rocket
$19.5M,"China, Uae, Germany",France,316,Low,1905,Qtr 3,July,11,7,Michelleside,1905,Sharable Homogeneous Implementation,Manned,3,Communication,98,Nuclear Propulsion
$2.9M,"China, Uae, Germany",Germany,94,Low,1905,Qtr 3,July,8,7,New Dannyberg,1905,Stand-Alone Context-Sensitive Algorithm,Unmanned,3,Research,85,Traditional Rocket
$46.7M,"China, Uae, India",Uk,239,Low,1905,Qtr 3,July,4,7,Deanmouth,1905,Proactive Context-Sensitive Utilization,Manned,3,Weather,69,Traditional Rocket
$8.1M,"China, Uae, Japan",Germany,285,Medium,1905,Qtr 3,July,10,7,Port Jamesfort,1905,Diverse Well-Modulated Capability,Manned,3,Weather,53,Nuclear Propulsion
$29.9M,"China, Uae, Russia",China,142,Medium,1905,Qtr 3,July,17,7,North Angela,1905,Business-Focused Bottom-Line Hierarchy,Unmanned,3,Research,65,Traditional Rocket
$5.6M,"China, Uae, Russia",Russia,222,Medium,1905,Qtr 3,July,17,7,Weeksport,1905,Multi-Layered Optimizing Info-Mediaries,Manned,3,Communication,100,Ai Navigation
$27.6M,"China, Uae, Uk",Israel,115,High,1905,Qtr 2,June,22,6,North Gabrielleton,1905,Inverse 24Hour Array,Unmanned,2,Spy,86,Traditional Rocket
$9.3M,"China, Uae, Uk",Uae,267,Low,1905,Qtr 3,July,3,7,Alexisside,1905,Ergonomic Heuristic Project,Manned,3,Research,87,Reusable Rocket
$45.6M,"China, Uk",China,99,Medium,1905,Qtr 3,July,4,7,Richardland,1905,Reverse-Engineered 24Hour Firmware,Manned,3,Weather,60,Traditional Rocket
$24.7M,"China, Uk",France,61,Low,1905,Qtr 3,July,17,7,Myersburgh,1905,Ameliorated Optimal Time-Frame,Unmanned,3,Research,87,Ai Navigation
$20.6M,"China, Uk",Germany,343,High,1905,Qtr 3,July,10,7,West Theresa,1905,Compatible Static Application,Unmanned,3,Weather,80,Solar Propulsion
$37.5M,"China, Uk",Germany,118,Low,1905,Qtr 2,June,28,6,Clarkfurt,1905,Exclusive Multi-Tasking Contingency,Manned,2,Spy,86,Traditional Rocket
$41.8M,"China, Uk",Germany,168,Medium,1905,Qtr 2,June,23,6,New Jason,1905,Streamlined Global Capacity,Unmanned,2,Communication,67,Ai Navigation
$10.3M,"China, Uk",Japan,348,Low,1905,Qtr 3,July,7,7,Jamesbury,1905,Integrated Solution-Oriented Solution,Manned,3,Weather,80,Solar Propulsion
$37.5M,"China, Uk",Russia,45,Low,1905,Qtr 3,July,13,7,Carolton,1905,Re-Engineered Systematic Intranet,Unmanned,3,Research,89,Reusable Rocket
$48.4M,"China, Uk",Russia,279,Medium,1905,Qtr 3,July,12,7,Rubenmouth,1905,Expanded Neutral Functionalities,Manned,3,Navigation,73,Traditional Rocket
$28.7M,"China, Uk",Russia,37,Medium,1905,Qtr 3,July,15,7,Jacquelinefurt,1905,Vision-Oriented Systemic Challenge,Manned,3,Research,60,Solar Propulsion
$47.1M,"China, Uk",Uae,251,High,1905,Qtr 3,July,5,7,West Davidfurt,1905,Re-Contextualized Mobile Database,Manned,3,Communication,95,Traditional Rocket
$27.0M,"China, Uk",Uae,22,Medium,1905,Qtr 3,July,3,7,Port Allenburgh,1905,Multi-Layered Multi-State Intranet,Unmanned,3,Navigation,60,Traditional Rocket
$44.7M,"China, Uk",Uae,38,Medium,1905,Qtr 3,July,12,7,Davidbury,1905,Multi-Layered Didactic Access,Manned,3,Research,81,Reusable Rocket
$16.1M,"China, Uk",Uk,2,Medium,1905,Qtr 2,June,25,6,Lake Timothy,1905,Multi-Lateral Tertiary Matrices,Unmanned,2,Spy,56,Traditional Rocket
$18.8M,"China, Uk",Usa,41,Low,1905,Qtr 2,June,27,6,Lake Raymondville,1905,Fundamental Full-Range Structure,Unmanned,2,Weather,90,Ai Navigation
$28.1M,"China, Uk",Usa,342,Medium,1905,Qtr 3,July,12,7,Port Jeffrey,1905,Organized Executive Capability,Manned,3,Research,73,Traditional Rocket
$36.1M,"China, Uk, India",India,108,Low,1905,Qtr 3,July,1,7,Lukeview,1905,Mandatory User-Facing Knowledgebase,Unmanned,3,Research,70,Nuclear Propulsion
$12.3M,"China, Uk, India",Israel,221,Low,1905,Qtr 2,June,27,6,Aaronmouth,1905,Secured 24Hour Circuit,Unmanned,2,Spy,98,Solar Propulsion
$38.9M,"China, Uk, Israel",Uae,316,High,1905,Qtr 3,July,1,7,Crystalmouth,1905,Business-Focused Hybrid Productivity,Manned,3,Weather,78,Reusable Rocket
$27.0M,"China, Usa",China,307,Low,1905,Qtr 3,July,17,7,Jacobview,1905,Upgradable Grid-Enabled Database,Manned,3,Research,77,Reusable Rocket
$12.2M,"China, Usa",France,113,High,1905,Qtr 3,July,12,7,South Timothy,1905,Reduced Asynchronous Product,Manned,3,Weather,60,Solar Propulsion
$30.5M,"China, Usa",Germany,344,Low,1905,Qtr 3,July,3,7,Port Alexandra,1905,Expanded Explicit Migration,Manned,3,Navigation,91,Traditional Rocket
$27.0M,"China, Usa",Germany,254,Medium,1905,Qtr 3,July,5,7,Turnerview,1905,Customer-Focused Disintermediate Solution,Manned,3,Weather,65,Ai Navigation
$24.7M,"China, Usa",India,84,Medium,1905,Qtr 3,July,9,7,Carlosstad,1905,Integrated Object-Oriented Throughput,Manned,3,Research,93,Traditional Rocket
$24.7M,"China, Usa",Israel,196,High,1905,Qtr 3,July,4,7,Rodriguezview,1905,Future-Proofed Client-Server Process Improvement,Manned,3,Communication,79,Solar Propulsion
$45.0M,"China, Usa",Uk,161,High,1905,Qtr 2,June,23,6,West Margaretfort,1905,Enterprise-Wide Multi-State Artificial Intelligence,Unmanned,2,Weather,54,Solar Propulsion
$46.8M,"China, Usa, France",Germany,51,Low,1905,Qtr 2,June,28,6,East Brian,1905,Face-To-Face Scalable Capacity,Manned,2,Navigation,75,Solar Propulsion
$38.2M,"China, Usa, France",India,45,Low,1905,Qtr 3,July,13,7,South Tony,1905,Assimilated Client-Driven Functionalities,Unmanned,3,Navigation,83,Traditional Rocket
$25.5M,"China, Usa, France",Israel,90,High,1905,Qtr 3,July,6,7,West Melissa,1905,Business-Focused Executive Forecast,Manned,3,Communication,64,Nuclear Propulsion
$4.1M,"China, Usa, France",Usa,235,Medium,1905,Qtr 2,June,25,6,North Debra,1905,Progressive Global Data-Warehouse,Manned,2,Communication,96,Traditional Rocket
$39.5M,"China, Usa, India",China,141,High,1905,Qtr 2,June,27,6,Margaretberg,1905,Sharable Foreground Data-Warehouse,Unmanned,2,Navigation,50,Ai Navigation
$30.5M,"China, Usa, Japan",Uk,6,High,1905,Qtr 2,June,24,6,Lake Eric,1905,Fully-Configurable Fault-Tolerant Functionalities,Manned,2,Weather,66,Traditional Rocket
$26.7M,"China, Usa, Japan",Usa,47,Low,1905,Qtr 3,July,11,7,Tuckerfort,1905,Ergonomic Clear-Thinking Productivity,Unmanned,3,Research,95,Traditional Rocket
$46.0M,"China, Usa, Russia",Uk,229,High,1905,Qtr 3,July,14,7,Darrenfurt,1905,Polarized Motivating Project,Manned,3,Communication,91,Reusable Rocket
$42.1M,"China, Usa, Uae",Uk,33,High,1905,Qtr 3,July,6,7,East Dianeview,1905,Proactive Content-Based Software,Unmanned,3,Communication,73,Reusable Rocket
$6.6M,"China, Usa, Uk",Israel,82,Low,1905,Qtr 3,July,15,7,South William,1905,Automated Tertiary Benchmark,Manned,3,Spy,85,Traditional Rocket
$17.8M,"China, Usa, Uk",Israel,151,Medium,1905,Qtr 3,July,2,7,North Jodi,1905,Optimized Dedicated Frame,Unmanned,3,Research,71,Solar Propulsion
$46.6M,France,China,255,High,1905,Qtr 3,July,10,7,Port Andrew,1905,Down-Sized National Project,Unmanned,3,Communication,91,Traditional Rocket
$47.0M,France,China,119,Low,1905,Qtr 2,June,28,6,Jesseland,1905,Organic Reciprocal Leverage,Unmanned,2,Research,51,Nuclear Propulsion
$16.9M,France,China,39,Low,1905,Qtr 2,June,29,6,Lisaburgh,1905,Digitized Client-Driven Analyzer,Manned,2,Communication,57,Nuclear Propulsion
$15.1M,France,China,254,Low,1905,Qtr 2,June,30,6,West Tammyville,1905,Realigned Web-Enabled Algorithm,Manned,2,Navigation,72,Ai Navigation
$13.3M,France,China,10,Low,1905,Qtr 3,July,1,7,Thompsonborough,1905,Optional Multi-State Local Area Network,Unmanned,3,Spy,83,Solar Propulsion
$36.7M,France,China,288,Medium,1905,Qtr 2,June,23,6,Johnfort,1905,Phased Executive Info-Mediaries,Unmanned,2,Navigation,50,Reusable Rocket
$46.9M,France,China,31,Medium,1905,Qtr 2,June,30,6,Jacksonview,1905,Programmable Client-Server Toolset,Unmanned,2,Spy,70,Reusable Rocket
$28.6M,France,China,319,Medium,1905,Qtr 3,July,9,7,West Jamesview,1905,User-Friendly Bandwidth-Monitored Core,Manned,3,Navigation,62,Nuclear Propulsion
$42.8M,France,France,309,High,1905,Qtr 3,July,6,7,Johnsonchester,1905,Progressive Directional Customer Loyalty,Unmanned,3,Communication,77,Solar Propulsion
$43.7M,France,France,241,High,1905,Qtr 3,July,8,7,Lake Teresastad,1905,Reactive Zero Tolerance Frame,Manned,3,Weather,83,Reusable Rocket
$33.8M,France,France,162,High,1905,Qtr 3,July,11,7,Johnburgh,1905,Managed Composite Array,Unmanned,3,Weather,64,Nuclear Propulsion
$4.4M,France,France,254,High,1905,Qtr 3,July,14,7,Julianstad,1905,Right-Sized Tangible Info-Mediaries,Manned,3,Weather,66,Nuclear Propulsion
$22.9M,France,France,129,High,1905,Qtr 3,July,17,7,Lake Bryanstad,1905,Re-Contextualized 24/7 Analyzer,Unmanned,3,Weather,93,Solar Propulsion
$22.1M,France,France,74,Low,1905,Qtr 2,June,23,6,Lake Amanda,1905,Mandatory Demand-Driven Moderator,Manned,2,Research,73,Nuclear Propulsion
$45.8M,France,France,99,Low,1905,Qtr 2,June,29,6,New Michaelberg,1905,Fully-Configurable Client-Server Structure,Manned,2,Spy,53,Reusable Rocket
$35.7M,France,France,17,Low,1905,Qtr 3,July,4,7,Lucasland,1905,Advanced Web-Enabled Local Area Network,Unmanned,3,Weather,70,Traditional Rocket
$25.1M,France,France,238,Low,1905,Qtr 3,July,17,7,South Ana,1905,Universal Multimedia Intranet,Manned,3,Spy,71,Solar Propulsion
$44.0M,France,France,353,Medium,1905,Qtr 3,July,5,7,Lake Meghan,1905,Balanced Multimedia Challenge,Unmanned,3,Spy,92,Ai Navigation
$39.8M,France,France,213,Medium,1905,Qtr 3,July,6,7,Tabithaport,1905,Devolved 3Rdgeneration Data-Warehouse,Manned,3,Navigation,71,Traditional Rocket
$39.6M,France,France,65,Medium,1905,Qtr 3,July,8,7,Kendramouth,1905,Pre-Emptive Exuding Interface,Unmanned,3,Navigation,60,Traditional Rocket
$8.3M,France,France,171,Medium,1905,Qtr 3,July,16,7,North Karen,1905,Synergized Responsive Installation,Manned,3,Communication,88,Ai Navigation
$29.3M,France,Germany,46,High,1905,Qtr 2,June,25,6,Gavinfort,1905,Synergized Holistic Monitoring,Manned,2,Navigation,96,Nuclear Propulsion
$39.6M,France,Germany,67,High,1905,Qtr 2,June,27,6,Campbellstad,1905,Versatile Zero Administration Circuit,Unmanned,2,Research,81,Traditional Rocket
$26.8M,France,Germany,327,High,1905,Qtr 2,June,28,6,Josephton,1905,Vision-Oriented Analyzing Secured Line,Manned,2,Navigation,84,Reusable Rocket
$9.3M,France,Germany,34,High,1905,Qtr 2,June,30,6,Davidfurt,1905,Mandatory Global Structure,Unmanned,2,Research,76,Nuclear Propulsion
$17.2M,France,Germany,39,High,1905,Qtr 3,July,15,7,North Danielchester,1905,Compatible Directional Concept,Unmanned,3,Research,51,Ai Navigation
$41.5M,France,Germany,321,High,1905,Qtr 3,July,16,7,Richardsonside,1905,Pre-Emptive Human-Resource Forecast,Unmanned,3,Navigation,59,Ai Navigation
$27.2M,France,Germany,205,High,1905,Qtr 3,July,17,7,Lake Nicholas,1905,Re-Engineered Demand-Driven Protocol,Unmanned,3,Communication,62,Nuclear Propulsion
